date,Hour,quantity
2015-01-24,16,16
2015-01-24,17,10
2015-01-24,18,16
2015-01-24,19,34
2015-01-24,20,18
2015-01-24,21,10
2015-01-24,22,2
2015-01-25,12,6
2015-01-25,13,17
2015-01-25,14,16
2015-01-25,15,6
2015-01-25,16,14
2015-01-25,17,10
2015-01-25,18,9
2015-01-25,19,6
2015-01-25,20,10
2015-01-25,21,8
2015-01-26,11,9
2015-01-26,12,22
2015-01-26,13,18
2015-01-26,14,14
2015-01-26,15,8
2015-01-26,16,14
2015-01-26,17,4
2015-01-26,18,10
2015-01-26,19,6
2015-01-26,20,4
2015-01-26,21,4
2015-01-27,11,5
2015-01-27,12,10
2015-01-27,13,35
2015-01-27,14,5
2015-01-27,15,7
2015-01-27,16,13
2015-01-27,17,20
2015-01-27,18,25
2015-01-27,19,1
2015-01-27,20,13
2015-01-27,21,10
2015-01-27,22,7
2015-01-28,11,14
2015-01-28,12,20
2015-01-28,13,20
2015-01-28,14,9
2015-01-28,15,12
2015-01-28,16,8
2015-01-28,17,4
2015-01-28,18,15
2015-01-28,19,4
2015-01-28,20,4
2015-01-28,21,5
2015-01-28,22,3
2015-01-29,11,7
2015-01-29,12,9
2015-01-29,13,39
2015-01-29,14,4
2015-01-29,15,4
2015-01-29,16,9
2015-01-29,17,2
2015-01-29,18,18
2015-01-29,19,8
2015-01-29,20,14
2015-01-29,21,3
2015-01-29,22,2
2015-01-30,11,8
2015-01-30,12,19
2015-01-30,13,10
2015-01-30,14,11
2015-01-30,15,4
2015-01-30,16,11
2015-01-30,17,15
2015-01-30,18,10
2015-01-30,19,11
2015-01-30,20,13
2015-01-30,21,21
2015-01-30,22,5
2015-01-31,11,7
2015-01-31,13,20
2015-01-31,14,12
2015-01-31,15,5
2015-01-31,16,17
2015-01-31,17,13
2015-01-31,18,28
2015-01-31,19,8
2015-01-31,20,19
2015-01-31,21,10
2015-01-31,22,6
2015-02-01,11,24
2015-02-01,12,10
2015-02-01,13,7
2015-02-01,14,18
2015-02-01,15,14
2015-02-01,16,29
2015-02-01,17,32
2015-02-01,18,13
2015-02-01,19,14
2015-02-01,20,15
2015-02-01,21,6
2015-02-01,22,9
2015-02-02,11,11
2015-02-02,12,10
2015-02-02,13,22
2015-02-02,14,18
2015-02-02,15,9
2015-02-02,16,18
2015-02-02,17,12
2015-02-02,18,6
2015-02-02,19,11
2015-02-02,20,12
2015-02-02,21,7
2015-02-02,22,9
2015-02-03,11,5
2015-02-03,12,47
2015-02-03,13,21
2015-02-03,14,12
2015-02-03,15,1
2015-02-03,16,16
2015-02-03,17,16
2015-02-03,18,13
2015-02-03,19,15
2015-02-03,20,8
2015-02-03,21,5
2015-02-04,11,10
2015-02-04,12,15
2015-02-04,13,16
2015-02-04,14,23
2015-02-04,15,6
2015-02-04,16,8
2015-02-04,17,17
2015-02-04,18,9
2015-02-04,19,10
2015-02-04,20,6
2015-02-04,21,14
2015-02-04,22,4
2015-02-05,11,4
2015-02-05,12,16
2015-02-05,13,22
2015-02-05,14,16
2015-02-05,15,6
2015-02-05,16,1
2015-02-05,17,11
2015-02-05,18,20
2015-02-05,19,11
2015-02-05,20,13
2015-02-05,21,9
2015-02-05,22,4
2015-02-06,11,8
2015-02-06,12,20
2015-02-06,13,37
2015-02-06,14,7
2015-02-06,15,4
2015-02-06,16,10
2015-02-06,17,14
2015-02-06,18,19
2015-02-06,19,7
2015-02-06,20,10
2015-02-06,21,14
2015-02-06,22,3
2015-02-07,11,8
2015-02-07,12,6
2015-02-07,13,7
2015-02-07,14,3
2015-02-07,15,27
2015-02-07,16,6
2015-02-07,17,13
2015-02-07,18,16
2015-02-07,19,18
2015-02-07,20,14
2015-02-07,21,16
2015-02-07,22,2
2015-02-08,11,2
2015-02-08,12,9
2015-02-08,13,15
2015-02-08,14,17
2015-02-08,15,9
2015-02-08,16,9
2015-02-08,17,11
2015-02-08,18,19
2015-02-08,19,6
2015-02-08,20,15
2015-02-08,21,5
2015-02-08,22,7
2015-02-09,11,3
2015-02-09,12,22
2015-02-09,13,7
2015-02-09,14,24
2015-02-09,15,9
2015-02-09,16,10
2015-02-09,17,17
2015-02-09,18,22
2015-02-09,19,13
2015-02-09,20,4
2015-02-09,21,3
2015-02-09,22,2
2015-02-10,11,8
2015-02-10,12,19
2015-02-10,13,15
2015-02-10,14,20
2015-02-10,15,3
2015-02-10,16,11
2015-02-10,17,16
2015-02-10,18,4
2015-02-10,19,10
2015-02-10,20,16
2015-02-10,21,2
2015-02-11,11,14
2015-02-11,12,20
2015-02-11,13,16
2015-02-11,14,11
2015-02-11,15,8
2015-02-11,16,1
2015-02-11,17,23
2015-02-11,18,17
2015-02-11,19,29
2015-02-11,20,11
2015-02-11,21,5
2015-02-12,11,11
2015-02-12,12,24
2015-02-12,13,7
2015-02-12,14,21
2015-02-12,15,17
2015-02-12,16,8
2015-02-12,17,16
2015-02-12,18,5
2015-02-12,19,5
2015-02-12,20,9
2015-02-12,21,1
2015-02-12,22,6
2015-02-13,11,10
2015-02-13,12,19
2015-02-13,13,30
2015-02-13,14,4
2015-02-13,15,2
2015-02-13,16,20
2015-02-13,17,14
2015-02-13,18,10
2015-02-13,19,5
2015-02-13,20,24
2015-02-13,21,13
2015-02-13,22,12
2015-02-14,11,2
2015-02-14,12,4
2015-02-14,13,6
2015-02-14,14,19
2015-02-14,15,6
2015-02-14,16,6
2015-02-14,17,15
2015-02-14,18,28
2015-02-14,19,19
2015-02-14,20,10
2015-02-14,21,13
2015-02-14,22,12
2015-02-15,11,20
2015-02-15,12,2
2015-02-15,13,3
2015-02-15,14,11
2015-02-15,15,6
2015-02-15,16,8
2015-02-15,17,34
2015-02-15,18,11
2015-02-15,19,10
2015-02-15,20,6
2015-02-15,21,17
2015-02-16,11,16
2015-02-16,12,26
2015-02-16,13,9
2015-02-16,14,7
2015-02-16,15,4
2015-02-16,16,9
2015-02-16,17,9
2015-02-16,18,22
2015-02-16,19,11
2015-02-16,20,4
2015-02-16,22,2
2015-02-17,11,7
2015-02-17,12,10
2015-02-17,13,17
2015-02-17,14,25
2015-02-17,15,8
2015-02-17,16,8
2015-02-17,17,13
2015-02-17,18,7
2015-02-17,19,10
2015-02-17,20,11
2015-02-17,21,6
2015-02-17,22,7
2015-02-18,11,15
2015-02-18,12,21
2015-02-18,13,19
2015-02-18,14,8
2015-02-18,15,7
2015-02-18,16,9
2015-02-18,17,14
2015-02-18,18,28
2015-02-18,19,10
2015-02-18,20,18
2015-02-18,21,7
2015-02-18,22,7
2015-02-19,11,7
2015-02-19,12,16
2015-02-19,13,30
2015-02-19,14,6
2015-02-19,15,10
2015-02-19,16,5
2015-02-19,17,15
2015-02-19,18,11
2015-02-19,19,12
2015-02-19,20,4
2015-02-19,21,7
2015-02-20,11,1
2015-02-20,12,25
2015-02-20,13,38
2015-02-20,14,11
2015-02-20,15,10
2015-02-20,16,12
2015-02-20,17,23
2015-02-20,18,6
2015-02-20,19,13
2015-02-20,20,17
2015-02-20,21,12
2015-02-20,22,7
2015-02-21,11,1
2015-02-21,12,25
2015-02-21,13,5
2015-02-21,14,9
2015-02-21,15,19
2015-02-21,16,13
2015-02-21,17,11
2015-02-21,18,13
2015-02-21,19,13
2015-02-21,20,7
2015-02-21,21,4
2015-02-21,22,4
2015-02-21,23,3
2015-02-22,11,2
2015-02-22,12,13
2015-02-22,13,10
2015-02-22,14,5
2015-02-22,15,18
2015-02-22,16,12
2015-02-22,17,3
2015-02-22,18,3
2015-02-22,19,11
2015-02-22,20,5
2015-02-22,21,12
2015-02-22,22,3
2015-02-23,11,6
2015-02-23,12,17
2015-02-23,13,32
2015-02-23,14,2
2015-02-23,15,4
2015-02-23,16,9
2015-02-23,17,27
2015-02-23,18,15
2015-02-23,19,5
2015-02-23,20,3
2015-02-23,21,4
2015-02-23,22,4
2015-02-24,11,9
2015-02-24,12,30
2015-02-24,13,12
2015-02-24,14,5
2015-02-24,15,4
2015-02-24,16,13
2015-02-24,17,16
2015-02-24,18,14
2015-02-24,19,9
2015-02-24,20,8
2015-02-24,21,13
2015-02-24,22,1
2015-02-25,10,3
2015-02-25,11,6
2015-02-25,12,37
2015-02-25,13,15
2015-02-25,14,5
2015-02-25,15,17
2015-02-25,16,7
2015-02-25,17,14
2015-02-25,18,14
2015-02-25,19,5
2015-02-25,20,14
2015-02-25,21,7
2015-02-26,12,20
2015-02-26,13,38
2015-02-26,14,6
2015-02-26,15,14
2015-02-26,16,10
2015-02-26,17,22
2015-02-26,18,13
2015-02-26,19,12
2015-02-26,20,4
2015-02-26,22,1
2015-02-27,11,10
2015-02-27,12,22
2015-02-27,13,20
2015-02-27,14,14
2015-02-27,15,4
2015-02-27,16,18
2015-02-27,17,22
2015-02-27,18,30
2015-02-27,19,18
2015-02-27,20,7
2015-02-27,21,7
2015-02-27,22,1
2015-02-28,11,17
2015-02-28,12,14
2015-02-28,13,9
2015-02-28,14,5
2015-02-28,15,5
2015-02-28,16,11
2015-02-28,17,16
2015-02-28,18,19
2015-02-28,19,19
2015-02-28,20,15
2015-02-28,21,21
2015-02-28,23,3
2015-03-01,11,2
2015-03-01,12,12
2015-03-01,13,4
2015-03-01,14,11
2015-03-01,15,10
2015-03-01,16,2
2015-03-01,17,15
2015-03-01,18,16
2015-03-01,19,12
2015-03-01,20,7
2015-03-01,21,1
2015-03-01,22,7
2015-03-02,11,4
2015-03-02,12,35
2015-03-02,13,13
2015-03-02,14,6
2015-03-02,15,15
2015-03-02,16,10
2015-03-02,17,15
2015-03-02,18,17
2015-03-02,19,9
2015-03-02,20,1
2015-03-02,21,13
2015-03-02,22,1
2015-03-03,11,4
2015-03-03,12,12
2015-03-03,13,36
2015-03-03,14,18
2015-03-03,15,10
2015-03-03,16,8
2015-03-03,17,15
2015-03-03,18,12
2015-03-03,19,9
2015-03-03,20,7
2015-03-03,21,6
2015-03-04,11,13
2015-03-04,12,24
2015-03-04,13,24
2015-03-04,14,11
2015-03-04,15,3
2015-03-04,16,13
2015-03-04,17,15
2015-03-04,18,24
2015-03-04,19,5
2015-03-04,20,11
2015-03-04,21,4
2015-03-05,11,6
2015-03-05,12,14
2015-03-05,13,39
2015-03-05,14,9
2015-03-05,15,16
2015-03-05,16,10
2015-03-05,17,27
2015-03-05,18,16
2015-03-05,19,1
2015-03-05,20,3
2015-03-05,21,1
2015-03-06,11,2
2015-03-06,12,40
2015-03-06,13,12
2015-03-06,14,3
2015-03-06,15,11
2015-03-06,16,6
2015-03-06,17,13
2015-03-06,18,17
2015-03-06,19,14
2015-03-06,20,16
2015-03-06,21,13
2015-03-06,22,5
2015-03-07,11,12
2015-03-07,12,19
2015-03-07,13,1
2015-03-07,14,3
2015-03-07,15,7
2015-03-07,16,20
2015-03-07,17,9
2015-03-07,18,15
2015-03-07,19,20
2015-03-07,20,15
2015-03-07,21,10
2015-03-07,22,10
2015-03-07,23,3
2015-03-08,11,1
2015-03-08,12,20
2015-03-08,13,12
2015-03-08,14,9
2015-03-08,15,11
2015-03-08,16,14
2015-03-08,17,26
2015-03-08,18,17
2015-03-08,19,5
2015-03-08,20,16
2015-03-08,21,4
2015-03-09,11,10
2015-03-09,12,7
2015-03-09,13,29
2015-03-09,14,11
2015-03-09,15,6
2015-03-09,16,15
2015-03-09,17,21
2015-03-09,18,15
2015-03-09,19,9
2015-03-09,20,10
2015-03-09,21,5
2015-03-10,11,10
2015-03-10,12,27
2015-03-10,13,24
2015-03-10,14,15
2015-03-10,15,7
2015-03-10,16,10
2015-03-10,17,11
2015-03-10,18,8
2015-03-10,19,9
2015-03-10,20,16
2015-03-10,21,5
2015-03-10,22,2
2015-03-11,12,30
2015-03-11,13,19
2015-03-11,14,14
2015-03-11,15,5
2015-03-11,16,22
2015-03-11,17,11
2015-03-11,18,20
2015-03-11,19,3
2015-03-11,20,3
2015-03-11,21,2
2015-03-11,22,5
2015-03-12,11,8
2015-03-12,12,28
2015-03-12,13,11
2015-03-12,14,8
2015-03-12,15,11
2015-03-12,16,15
2015-03-12,17,11
2015-03-12,18,16
2015-03-12,19,3
2015-03-12,20,6
2015-03-12,22,2
2015-03-13,11,4
2015-03-13,12,35
2015-03-13,13,13
2015-03-13,14,9
2015-03-13,15,6
2015-03-13,16,5
2015-03-13,17,29
2015-03-13,18,13
2015-03-13,19,22
2015-03-13,20,22
2015-03-13,21,12
2015-03-13,22,6
2015-03-14,12,10
2015-03-14,13,26
2015-03-14,14,9
2015-03-14,15,7
2015-03-14,16,18
2015-03-14,17,8
2015-03-14,18,12
2015-03-14,19,10
2015-03-14,20,10
2015-03-14,21,11
2015-03-14,22,2
2015-03-15,11,10
2015-03-15,12,6
2015-03-15,13,27
2015-03-15,14,3
2015-03-15,15,13
2015-03-15,16,28
2015-03-15,17,7
2015-03-15,18,17
2015-03-15,19,10
2015-03-15,20,4
2015-03-15,21,4
2015-03-15,22,2
2015-03-16,11,4
2015-03-16,12,21
2015-03-16,13,31
2015-03-16,14,6
2015-03-16,15,4
2015-03-16,16,17
2015-03-16,17,18
2015-03-16,18,16
2015-03-16,19,17
2015-03-16,20,3
2015-03-16,21,1
2015-03-16,22,3
2015-03-17,11,8
2015-03-17,12,5
2015-03-17,13,35
2015-03-17,14,15
2015-03-17,15,7
2015-03-17,16,22
2015-03-17,17,23
2015-03-17,18,11
2015-03-17,19,29
2015-03-17,20,13
2015-03-17,21,11
2015-03-18,11,3
2015-03-18,12,22
2015-03-18,13,20
2015-03-18,14,9
2015-03-18,15,2
2015-03-18,16,4
2015-03-18,17,18
2015-03-18,18,14
2015-03-18,19,9
2015-03-18,20,15
2015-03-18,21,3
2015-03-18,22,4
2015-03-19,11,15
2015-03-19,12,16
2015-03-19,13,17
2015-03-19,14,16
2015-03-19,15,5
2015-03-19,16,11
2015-03-19,17,12
2015-03-19,18,10
2015-03-19,19,30
2015-03-19,20,8
2015-03-19,21,3
2015-03-19,22,1
2015-03-20,11,7
2015-03-20,12,30
2015-03-20,13,13
2015-03-20,14,5
2015-03-20,15,7
2015-03-20,16,5
2015-03-20,17,12
2015-03-20,18,20
2015-03-20,19,21
2015-03-20,20,9
2015-03-20,21,14
2015-03-20,22,6
2015-03-21,11,8
2015-03-21,12,5
2015-03-21,13,26
2015-03-21,14,24
2015-03-21,15,5
2015-03-21,16,10
2015-03-21,17,8
2015-03-21,18,13
2015-03-21,19,19
2015-03-21,20,11
2015-03-21,21,4
2015-03-21,22,3
2015-03-22,12,7
2015-03-22,13,12
2015-03-22,14,5
2015-03-22,15,2
2015-03-22,16,12
2015-03-22,17,8
2015-03-22,18,11
2015-03-22,19,11
2015-03-22,20,4
2015-03-22,21,5
2015-03-23,11,15
2015-03-23,12,28
2015-03-23,13,20
2015-03-23,14,3
2015-03-23,15,6
2015-03-23,16,10
2015-03-23,17,17
2015-03-23,18,7
2015-03-23,19,13
2015-03-23,20,7
2015-03-23,21,1
2015-03-23,22,8
2015-03-24,11,8
2015-03-24,12,27
2015-03-24,13,3
2015-03-24,14,7
2015-03-24,15,5
2015-03-24,16,21
2015-03-24,17,14
2015-03-24,18,7
2015-03-24,19,13
2015-03-24,20,11
2015-03-24,21,1
2015-03-24,22,13
2015-03-25,11,7
2015-03-25,12,15
2015-03-25,13,15
2015-03-25,14,4
2015-03-25,15,2
2015-03-25,16,3
2015-03-25,17,26
2015-03-25,18,12
2015-03-25,19,11
2015-03-25,20,9
2015-03-25,21,10
2015-03-25,22,1
2015-03-26,11,13
2015-03-26,12,15
2015-03-26,13,21
2015-03-26,14,16
2015-03-26,15,6
2015-03-26,16,14
2015-03-26,17,17
2015-03-26,18,16
2015-03-26,19,3
2015-03-26,20,14
2015-03-26,21,1
2015-03-27,11,5
2015-03-27,12,24
2015-03-27,13,23
2015-03-27,14,5
2015-03-27,15,1
2015-03-27,16,17
2015-03-27,17,29
2015-03-27,18,19
2015-03-27,19,18
2015-03-27,20,12
2015-03-27,21,6
2015-03-27,22,8
2015-03-28,11,1
2015-03-28,12,26
2015-03-28,13,6
2015-03-28,14,10
2015-03-28,15,12
2015-03-28,16,21
2015-03-28,17,12
2015-03-28,18,10
2015-03-28,19,14
2015-03-28,20,21
2015-03-28,22,6
2015-03-29,11,4
2015-03-29,12,28
2015-03-29,13,17
2015-03-29,14,5
2015-03-29,15,14
2015-03-29,16,22
2015-03-29,17,11
2015-03-29,18,10
2015-03-29,19,14
2015-03-29,20,6
2015-03-29,22,1
2015-03-30,10,3
2015-03-30,11,12
2015-03-30,12,13
2015-03-30,13,26
2015-03-30,14,3
2015-03-30,15,10
2015-03-30,16,17
2015-03-30,17,14
2015-03-30,18,13
2015-03-30,19,3
2015-03-30,20,5
2015-03-30,21,18
2015-03-31,11,1
2015-03-31,12,17
2015-03-31,13,37
2015-03-31,14,16
2015-03-31,15,12
2015-03-31,16,7
2015-03-31,17,20
2015-03-31,18,15
2015-03-31,19,11
2015-03-31,20,11
2015-03-31,21,9
2015-03-31,22,5
2015-04-01,11,5
2015-04-01,12,33
2015-04-01,13,13
2015-04-01,14,10
2015-04-01,15,11
2015-04-01,16,9
2015-04-01,17,11
2015-04-01,18,6
2015-04-01,19,23
2015-04-01,20,5
2015-04-01,21,4
2015-04-01,22,5
2015-04-02,11,18
2015-04-02,12,35
2015-04-02,13,14
2015-04-02,14,2
2015-04-02,15,13
2015-04-02,16,18
2015-04-02,17,16
2015-04-02,18,12
2015-04-02,19,8
2015-04-02,20,4
2015-04-02,21,4
2015-04-02,22,4
2015-04-03,11,6
2015-04-03,12,18
2015-04-03,13,27
2015-04-03,14,12
2015-04-03,15,11
2015-04-03,16,8
2015-04-03,17,6
2015-04-03,18,18
2015-04-03,19,17
2015-04-03,20,14
2015-04-03,21,7
2015-04-03,22,11
2015-04-04,10,3
2015-04-04,12,8
2015-04-04,13,18
2015-04-04,14,32
2015-04-04,15,7
2015-04-04,16,10
2015-04-04,17,6
2015-04-04,18,23
2015-04-04,19,18
2015-04-04,20,28
2015-04-04,21,9
2015-04-04,22,8
2015-04-05,11,2
2015-04-05,12,3
2015-04-05,13,27
2015-04-05,14,7
2015-04-05,15,3
2015-04-05,16,20
2015-04-05,17,13
2015-04-05,18,14
2015-04-05,19,21
2015-04-05,20,2
2015-04-05,21,4
2015-04-05,22,1
2015-04-06,11,5
2015-04-06,12,27
2015-04-06,13,29
2015-04-06,14,4
2015-04-06,15,9
2015-04-06,16,8
2015-04-06,17,17
2015-04-06,18,20
2015-04-06,19,15
2015-04-06,20,8
2015-04-06,21,14
2015-04-06,22,1
2015-04-07,11,1
2015-04-07,12,31
2015-04-07,13,15
2015-04-07,14,16
2015-04-07,15,5
2015-04-07,16,8
2015-04-07,17,15
2015-04-07,18,19
2015-04-07,19,3
2015-04-07,20,10
2015-04-07,21,6
2015-04-07,22,9
2015-04-08,11,10
2015-04-08,12,17
2015-04-08,13,31
2015-04-08,14,1
2015-04-08,15,12
2015-04-08,16,10
2015-04-08,17,22
2015-04-08,18,10
2015-04-08,19,12
2015-04-08,20,1
2015-04-08,21,8
2015-04-08,22,2
2015-04-09,11,13
2015-04-09,12,13
2015-04-09,13,6
2015-04-09,14,10
2015-04-09,15,7
2015-04-09,16,16
2015-04-09,17,13
2015-04-09,18,21
2015-04-09,19,5
2015-04-09,20,15
2015-04-09,22,3
2015-04-10,11,5
2015-04-10,12,11
2015-04-10,13,10
2015-04-10,14,10
2015-04-10,15,8
2015-04-10,16,12
2015-04-10,17,23
2015-04-10,18,18
2015-04-10,20,26
2015-04-10,21,7
2015-04-10,22,9
2015-04-10,23,3
2015-04-11,11,1
2015-04-11,12,13
2015-04-11,13,9
2015-04-11,14,7
2015-04-11,15,14
2015-04-11,16,24
2015-04-11,17,12
2015-04-11,18,11
2015-04-11,19,15
2015-04-11,20,19
2015-04-11,21,15
2015-04-11,22,13
2015-04-12,11,5
2015-04-12,12,22
2015-04-12,13,9
2015-04-12,14,9
2015-04-12,15,5
2015-04-12,16,9
2015-04-12,17,24
2015-04-12,18,9
2015-04-12,19,10
2015-04-12,20,6
2015-04-12,21,2
2015-04-12,22,10
2015-04-13,11,17
2015-04-13,12,25
2015-04-13,13,18
2015-04-13,14,14
2015-04-13,15,3
2015-04-13,16,6
2015-04-13,17,16
2015-04-13,18,14
2015-04-13,19,11
2015-04-13,20,6
2015-04-13,21,14
2015-04-14,11,4
2015-04-14,12,43
2015-04-14,13,19
2015-04-14,14,5
2015-04-14,15,15
2015-04-14,16,8
2015-04-14,17,4
2015-04-14,18,15
2015-04-14,19,13
2015-04-14,20,6
2015-04-14,21,13
2015-04-14,22,1
2015-04-15,11,18
2015-04-15,12,11
2015-04-15,13,30
2015-04-15,14,8
2015-04-15,15,12
2015-04-15,16,12
2015-04-15,17,23
2015-04-15,18,21
2015-04-15,19,14
2015-04-15,20,2
2015-04-15,21,3
2015-04-15,22,4
2015-04-16,11,7
2015-04-16,12,17
2015-04-16,13,10
2015-04-16,14,6
2015-04-16,15,10
2015-04-16,16,14
2015-04-16,17,18
2015-04-16,18,16
2015-04-16,19,9
2015-04-16,20,6
2015-04-16,21,2
2015-04-16,22,11
2015-04-17,11,3
2015-04-17,12,41
2015-04-17,13,16
2015-04-17,14,16
2015-04-17,15,1
2015-04-17,17,22
2015-04-17,18,20
2015-04-17,19,15
2015-04-17,20,14
2015-04-17,21,7
2015-04-17,22,6
2015-04-18,11,6
2015-04-18,12,20
2015-04-18,13,14
2015-04-18,14,2
2015-04-18,15,7
2015-04-18,16,12
2015-04-18,17,25
2015-04-18,18,11
2015-04-18,19,16
2015-04-18,20,19
2015-04-18,21,3
2015-04-18,22,2
2015-04-19,11,4
2015-04-19,12,6
2015-04-19,13,6
2015-04-19,14,11
2015-04-19,15,16
2015-04-19,16,6
2015-04-19,17,13
2015-04-19,18,12
2015-04-19,19,16
2015-04-19,20,1
